time,lat,lon,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,RootMoist_inst,SoilTMP0_10cm_inst,Tair_f_inst,Rainf_tavg,Evap_tavg,SWdown_f_tavg,LWdown_f_tavg,Qs_acc,Qsb_acc,Qsm_acc,CanopInt_inst,provincia,canton
2020-01-01,-3.625,-79.125,26.489351,81.04127,396.87585,289.0894,286.11227,1.5554839e-05,1.9046907e-05,201.67722,359.5498,0.0016924597,0.0050111692,0.0,0.08514113,Loja,Saraguro
2020-01-01,-3.625,-78.875,28.109121,84.31465,555.29974,290.4402,289.36063,4.2122985e-05,2.7856182e-05,166.68214,367.93024,0.007076089,0.07319524,0.0,0.1145,Zamora Chinchipe,Yacuambi
2020-01-01,-3.625,-78.625,27.982157,83.8079,549.4793,292.97177,291.99496,4.8481856e-05,3.3629167e-05,172.61194,382.71542,0.0080988705,0.06321952,0.0,0.11667742,Zamora Chinchipe,El Pangui
2020-01-01,-3.375,-80.125,9.186085,32.567944,109.7649,302.44592,299.72513,3.3629033e-06,7.34973e-06,260.45856,410.97244,8.580645e-05,0.0017519355,0.0,0.010560484,El Oro,Santa Rosa
2020-01-01,-3.375,-79.875,13.399976,48.206135,212.24529,302.22464,299.17795,1.5530644e-05,1.5184408e-05,223.45972,436.18835,0.0011347581,0.00024044355,0.0,0.040596776,El Oro,Pasaje
2020-01-01,-3.375,-79.625,18.269875,57.75833,264.42514,294.1126,291.2329,1.5791935e-05,1.2860214e-05,210.66891,385.66443,0.0011798387,0.0005139113,0.0,0.06870565,El Oro,Chilla
2020-01-01,-3.375,-79.375,19.773638,62.19492,206.87839,292.5774,288.93567,1.6234275e-05,1.333965e-05,220.86133,366.73178,0.0010304436,0.008121008,0.0,0.0770121,Loja,Saraguro
2020-01-01,-3.375,-79.125,19.008242,57.63063,191.03523,290.84796,287.6339,1.580242e-05,1.7307795e-05,223.29024,359.42624,0.0007520564,0.009135968,0.0,0.08291129,Azuay,Nabón
2020-01-01,-3.375,-78.875,34.187244,102.84627,682.3964,286.53366,285.0164,4.2087904e-05,2.5873924e-05,174.67105,344.54318,0.012729355,0.06861984,0.0,0.12594354,Morona Santiago,Gualaquiza
2020-01-01,-3.375,-78.625,28.095274,84.14931,552.15564,291.6447,290.56683,4.8416532e-05,3.282634e-05,170.45412,376.4371,0.009745685,0.06762557,0.0,0.1217742,Morona Santiago,Gualaquiza
2020-01-01,-3.375,-78.375,28.236843,84.6702,556.7914,292.12354,290.76205,4.840121e-05,3.0483601e-05,171.08585,378.85782,0.021504838,0.075790964,0.0,0.12002016,Morona Santiago,Gualaquiza
2020-01-01,-3.125,-79.875,13.116069,44.47185,198.52304,301.92297,298.99997,1.5540323e-05,1.5620295e-05,221.67625,438.89764,0.0005689516,0.0006595565,0.0,0.042012095,El Oro,El Guabo
2020-01-01,-3.125,-79.625,17.880642,55.95917,261.77628,295.51196,292.8472,1.5659678e-05,1.410094e-05,206.22931,397.75754,0.0009834274,0.0006191129,0.0,0.07252823,Azuay,Camilo Ponce Enriquez
2020-01-01,-3.125,-79.375,20.40162,62.889065,210.37537,289.40326,286.31998,1.5990323e-05,1.4688037e-05,210.5121,356.02847,0.0010642338,0.0073249196,0.0,0.077435486,Azuay,Santa Isabel
